Ticker,Nome
XPID11,Xp Infra Debêntures
EGAF11,Ecoagro I Fdo Inv Cadeias Prod Agroind
HPDP11,Hedge Shopping Parque Dom Pedro
BTAG11,Btg Pactual Crédito Agrícola Fiagro
VVMR11,Fii Multi Renda Urbana
VSLH11,Versalhes Recebíveis Imobiliários
WHGR11,Whg Real Estate
BBFO11,Bb Fundo De Fundos
RBRX11,Rbr Plus Multiestratégia Real Estate
NSLU11,Hospital Nossa Senhora De Lourdes
CNES11,Cenesp
VCRR11,Vectis Renda Residencial
COPN11,Copérnico Fip Infra
HOFC11,Hedge Office Income
HGPO11,Cshg Prime Offices
AZIN11,Az Quest Infra-Yield Ii Fip-Ie
CXAG11,Caixa Agências
CRAA11,Sparta Fiagro Fdo Inv Nas Cad Prod Agro
GRUL11,Icatu Vanguarda Gru Logístico
VIUR11,Vinci Imóveis Urbanos
RBED11,Rio Bravo Renda Educacional
HGFF11,Patria Imobiliário Fof
CJCT11,Cidade Jardim Continental Tower
RBFF11,Rio Bravo Fundo
HSAF11,Hsi Ativos Financeiros
FIGS11,General Shopping Fundo De Investimento
BIDB11,Inter Fi-Infra
JCIN11,Fof Jhsf Capital Institucional
AAZQ11,Az Quest Fiagro
JSCR11,Js Recebíveis Imobiliários
JGPX11,Jgp Crédito
BLCA11,Bluemacaw Catuaí Triple A
HBCR11,Hbc Renda Urbana
CPTR11,Capitania Agro Strategies
LPLP11,Lago Da Pedra
PLCR11,Plural Recebíveis
VCRI11,Vinci Credit
SPXS11,Spx Syn Mult
ALZC11,Fii Alianzac
KIVO11,Kilima Volkano Recebíveis Imobiliários
RBHG11,Rio Bravo Crédito Imobiliário High Grade
AGRX11,Exes Araguaia
FIIP11,Rb Capital Renda I
FIIP11,BRb Capital Renda I (Old)
AZPL11,Az Quest Panorama Logística Fii
ARRI11,Átrio Reit Recebíveis Imobiliários
RBHY11,Rio Bravo Crédito Imobiliário High Yield
CXCI11,Caixa Carteira Imobiliária
VXXV11,Vx Xvi
SEQR11,Sequoia Iii Renda Imobiliária
OULG11,Ourinvest Logística
SAPI11,Santander Papéis Imobiliários
CYLD11,Cyrela Desenvolvimento Logístico Fii
SADI11,Santander Papeis Imobiliários Cdi
FYTO11,Nch Brasil Recebíveis Imobiliários
NCHB11,Nch Brasil Recebíveis Imobiliários (Old)
BTML11,Barra Malls Fundo De Investimento Imobiliário
OUFF11,Ourinvest
BICE11,Brio Crédito Estruturado
PMIS11,Paramis Hedge Fund
EQIN11,Nch Eqi High Yield Recebíveis Imobiliários
GCRI11,Galapagos Recebíveis Imobiliários
CFII11,Cf3 Fundo De Investimento Imobiliário
ALZM11,Alianza Multiestratégia
HCHG11,Hectare Recebíveis High Grade
RELG11,Rec Logística
